CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
absolute_monarchy_gov;Monarchia assoluta;;;;;;;;;;;;;x
anarcho_liberal_gov;Governo radicale;;;;;;;;;;;;;x
anarcho_liberal_election_win;I radicali hanno vinto le elezioni;;;;;;;;;;;;;x
colonial_company_gov;Governo coloniale;;;;;;;;;;;;;x
communist_gov;Governo comunista;;;;;;;;;;;;;x
communist_election_win;I comunisti hanno vinto le elezioni;;;;;;;;;;;;;x
constitutional_monarchy_gov;Monarchia parlamentare;;;;;;;;;;;;;x
democracy_gov;Governo democratico;;;;;;;;;;;;;x
dominion_gov;Dominio;;;;;;;;;;;;;x
fascist_gov;Governo fascista;;;;;;;;;;;;;x
fascist_election_win;I fascisti hanno vinto le elezioni;;;;;;;;;;;;;x
khanate_gov;Khanato;;;;;;;;;;;;;x
liberal_election_win;I liberali hanno vinto le elezioni;;;;;;;;;;;;;x
monarchy_gov;Monarchia;;;;;;;;;;;;;x
presidential_dictatorship_gov;Dittatura presidenziale;;;;;;;;;;;;;x
puppet_gov;Stato fantoccio;;;;;;;;;;;;;x
reactionary_election_win;I reazionari hanno vinto le elezioni;;;;;;;;;;;;;x
semi_constitutional_monarchy_gov;Monarchia costituzionale;;;;;;;;;;;;;x
social_liberal_election_win;I social liberali hanno vinto le elezioni;;;;;;;;;;;;;x
socialist_election_win;I socialisti hanno vinto le elezioni;;;;;;;;;;;;;x
theocratic_government;Governo teocratico;;;;;;;;;;;;;x
tory_election_win;I conservatori hanno vinto le elezioni;;;;;;;;;;;;;x
